year,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
2013,Carolina Panthers,1112229,587544,524685,73294,67819,73748,0,60426,63963,72686,59073,73720,69732,74225,60156,72795,73089,73251,73825,70427
2013,Chicago Bears,1057075,498864,558211,62213,62181,61575,64552,62361,62374,83147,0,78122,62431,62367,66024,64134,62229,71513,69144,62708
2013,Cincinnati Bengals,1001806,506377,495429,62213,64585,64633,71481,64259,67739,63207,62576,52388,70992,63856,0,61536,62507,45873,61555,62406
2013,Cleveland Browns,1122750,569939,552811,71513,71098,63672,71481,71239,71513,77804,74307,71513,0,63856,71513,69654,68756,71513,76957,56361
2013,Dallas Cowboys,1279578,704345,575233,85348,76952,80848,68601,92758,90239,69144,64379,85360,73018,0,80499,87572,62229,91054,80411,91166
2013,Denver Broncos,1194145,614977,579168,76977,81285,76978,77002,92758,76862,67196,77031,0,68847,77076,68756,77065,76554,76497,71761,51500
2013,Detroit Lions,1053841,510369,543472,62461,60034,80111,64552,78200,71513,63207,64379,0,62431,57905,62098,64934,69144,64742,63996,64134
2013,Green Bay Packers,1191205,623577,567628,69732,78020,64633,0,78200,71319,77804,64134,78122,78011,79114,77871,64934,77550,91054,77999,62708
2013,Houston Texans,1103683,573271,530412,59522,71718,71168,71756,69732,71104,74118,0,71778,60845,71726,71659,71769,60414,65470,71761,69143
2013,Indianapolis Colts,1054693,527606,527087,65412,65406,69732,59695,66608,57954,67196,0,71778,66004,69143,60882,65502,62507,65470,75396,66008
2013,Jacksonville Jaguars,1028219,503140,525079,59416,49400,68087,59695,54266,76862,59550,83559,0,69143,59862,71659,69654,60414,60085,60559,66008
2013,Kansas City Chiefs,1118007,602877,515130,59416,76952,69144,73386,69143,76394,74118,74307,68159,0,77076,75259,77065,56247,49571,75396,66374
2013,Miami Dolphins,1041545,514553,526992,71513,65406,70660,73118,68342,0,60592,68756,52388,64448,60256,60156,76957,52489,71863,54305,70296
2013,Minnesota Vikings,1099551,531653,567898,62461,62181,63672,83518,0,63963,79314,64134,85360,64011,68235,77871,64134,70921,64087,61555,64134
2013,New England Patriots,1120817,550048,570769,69519,68756,68756,70744,64259,68756,76957,68756,68756,0,74225,68756,71769,68756,71863,71433,68756
2013,New Orleans Saints,1123230,583210,540020,72348,60870,73057,73118,62361,68756,0,72405,76957,73018,73025,70422,68387,73089,58442,73825,73150
2013,New York Giants,1209532,641184,568348,85348,81285,73748,73386,80738,62374,79314,69144,0,80366,79114,80499,75220,65132,79691,63996,80177
2013,New York Jets,1169108,615656,553452,76957,68756,76957,69143,70246,76957,76957,62576,76957,0,68036,71148,76957,76957,73251,76957,70296
2013,Oakland Raiders,1004636,403556,601080,65412,49400,76978,53549,48834,76394,0,52950,51751,80366,71726,46001,87572,76957,49571,65675,51500
2013,Philadelphia Eagles,1141155,553152,588003,82743,69144,69144,77002,80738,62505,69144,69144,51751,78011,69144,0,69144,69144,64087,69144,91166
